[2025-12-23][20:26:29][gungameserver::server][INFO] Starting HTTP server on 0.0.0.0:8080
[2025-12-23][20:26:29][gungameserver::server][INFO] HTTP server successfully bound to 0.0.0.0:8080
[2025-12-23][20:30:14][gungameserver::server][INFO] Starting HTTP server on 0.0.0.0:8080
[2025-12-23][20:30:14][gungameserver::server][INFO] Starting UDP server on 0.0.0.0:8081
[2025-12-23][20:30:14][gungameserver::server][INFO] UDP server successfully bound to 0.0.0.0:8081
[2025-12-23][20:30:14][gungameserver::server][INFO] HTTP server successfully bound to 0.0.0.0:8080
[2025-12-24][01:50:23][gungameserver::server][INFO] Starting HTTP server on 0.0.0.0:8080
[2025-12-24][01:50:23][gungameserver::server][INFO] Starting UDP server on 0.0.0.0:8081
[2025-12-24][01:50:23][gungameserver::server][INFO] UDP server successfully bound to 0.0.0.0:8081
[2025-12-24][01:50:23][gungameserver::server][INFO] HTTP server successfully bound to 0.0.0.0:8080
[2025-12-24][02:33:57][gungameserver::server][INFO] Starting HTTP server on 0.0.0.0:8080
[2025-12-24][02:33:57][gungameserver::server][INFO] Starting UDP server on 0.0.0.0:8081
[2025-12-24][02:33:57][gungameserver::server][INFO] UDP server successfully bound to 0.0.0.0:8081
[2025-12-24][02:33:57][gungameserver::server][INFO] HTTP server successfully bound to 0.0.0.0:8080
[2025-12-25][01:44:35][gungameserver][INFO] Created test lobby 'test'
[2025-12-25][01:44:35][gungameserver::server][INFO] Starting HTTP server on 0.0.0.0:8080
[2025-12-25][01:44:35][gungameserver::server][INFO] HTTP server successfully bound to 0.0.0.0:8080
[2025-12-25][01:45:07][gungameserver::tick::lobby_tick][WARN] Failed to add player 1: Player already exists
[2025-12-25][01:45:11][gungameserver::tick::lobby_tick][WARN] Failed to add player 2: Player already exists
[2025-12-25][01:45:12][gungameserver::tick::lobby_tick][WARN] Failed to add player 3: Player already exists
[2025-12-25][01:45:13][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:13][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:13][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:13][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:14][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:14][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:14][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:14][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:14][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:15][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:15][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:15][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:15][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:15][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:16][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:17][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:18][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:19][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:20][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
